"YEAR_","STATE","AGENCY","UNIT_ID","TREATMENT_","TREATMENT1","START_DATE","END_DATE","TREATED_AC","GIS_ACRES","RX_CONSUM","PRE_CON_CL","POST_CON_C","TREATMENT_TYPE","Shape_Leng","Shape_Area","treatment_type","Id","area_m2"
"2020","CA","CDF","CZU","10629","2020 Broadcast Burn",2020-02-27,2020-02-27,24,23.995,0,0,0,1,2218.72695273,97104.3583307,"Broadcast Burn",0,895.938321173011
"2020","CA","CDF","AEU","11504","Dec 11 2020 Broadcast",2020-12-11,2020-12-11,47.8,47.7922,0,0,0,1,1931.25130948,193408.299968,"Broadcast Burn",0,888.007258034973
"2020","CA","CDF","AEU","11373","Nov 17, 2020 Broadcast",2020-11-17,2020-11-17,23.7,23.6992,0,0,0,1,1848.65387912,95907.1425683,"Broadcast Burn",0,872.024933879765
"2020","CA","OTH","LNU","11123","2020 Broadcast Burn",2020-06-15,2020-06-15,27,46.833,0,0,0,1,2571.11163896,189526.283071,"Broadcast Burn",0,820.848297828743
"2020","CA","CSP","LNU","11116","Plot C 2020",2020-07-03,2020-07-03,32,32.9689,0,0,0,1,1503.98297669,133420.210072,"Broadcast Burn",0,788.696948195808
"2020","CA","USF","SHF","0150438000",NA,2020-04-01,NA,65,64.6662,0,0,0,2,3534.32304956,261694.783922,"Fire Use",0,719.406410767813
"2020","CA","CSP","LNU","11117","Plot D 2020",2020-07-03,2020-07-03,63,63.1257,0,0,0,1,2232.04872874,255460.787797,"Broadcast Burn",0,700.031230810957
"2020","CA","FWS","FKU","11093","2020_Broadcast Burn",2020-06-03,2020-06-03,25.4,25.3771,0,0,0,1,1633.06292658,102697.284267,"Broadcast Burn",0,654.259450604615
"2020","CA","CDF","NEU","11366","Broadcast Burn",2020-12-02,2020-12-02,5.5,38.1581,0,0,0,1,1580.24502346,154420.182175,"Broadcast Burn",0,654.144555889099
"2020","CA","CDF","AEU","11200","July 15 2020 Broadcast",2020-07-15,2020-07-15,32.6,32.5627,0,0,0,1,1650.58179865,131776.755826,"Broadcast Burn",0,648.567150854137
"2020","CA","CSP","LNU","11114","Plot A 2020",2020-07-01,2020-07-01,37,37.9327,0,0,0,1,1523.21583571,153508.354769,"Broadcast Burn",0,642.07987768203
"2020","CA","OTH","BTU","10916","2020 Rabe Rx Burn",2020-05-27,2020-05-27,43.4,43.4142,0,0,0,1,1884.88659436,175691.104008,"Broadcast Burn",0,615.23849175112
"2020","CA","LRA","TCU","11344","Moke Hill Cemetery Broadcast Burn",2020-11-11,2020-11-11,7,7.00202,0,0,0,1,1475.65542161,28336.1563187,"Broadcast Burn",0,611.61263656139
"2020","CA","CDF","CZU","10575","Santa Rosalita Broadcast Burn",2020-02-19,2020-02-19,14.3,14.3479,0,0,0,1,1052.38224193,58063.9414177,"Broadcast Burn",0,602.776517757991
"2020","CA","PVT","LMU","11406","A-1 Rx",2020-12-11,2020-12-17,26,26.1433,0,0,0,1,3894.85566808,105798.253181,"Broadcast Burn",0,599.554536621691
"2020","CA","CDF","AEU","10782","March 5 2020 Broadcast",2020-03-05,2020-03-05,16.5,16.4766,0,0,0,1,1452.10618638,66678.6033226,"Broadcast Burn",0,586.587401856897
"2020","CA","CDF","AEU","11231","August 14, 2020 Broadcast",2020-08-14,2020-08-14,22.6,22.6406,0,0,0,1,1636.66534867,91623.1020214,"Broadcast Burn",0,579.610985838115
"2020","CA","CSP","LNU","11115","Plot B 2020",2020-07-01,2020-07-01,15,15.2558,0,0,0,1,1003.38294471,61737.8553926,"Broadcast Burn",0,499.943707255283
"2020","CA","CDF","AEU","10509","Jan 31 2020 Broadcast",2020-01-31,2020-01-31,15,15.047,0,0,0,1,1365.88752867,60893.2169058,"Broadcast Burn",0,457.54030602955
"2020","CA","CDF","CZU","11084","2020 Broadcast Burn",2020-06-24,2020-06-24,9.9,9.90122,0,0,0,1,1069.04377233,40068.8002657,"Broadcast Burn",0,450.488506325855
"2020","CA","PVT","LNU","10744","Thompson",2020-02-22,2020-02-22,20,24.4415,0,0,0,1,1287.07568681,98911.1071851,"Broadcast Burn",0,417.42619880673
"2020","CA","USF","KNF","7180013000",NA,2020-09-30,NA,85,69.7256,0,0,0,2,2354.17247576,282169.344056,"Fire Use",0,411.93751902692
"2020","CA","CDF","TCU","11055","Hogan Fireworks Broadcast Burn",2020-06-03,2020-06-03,11.3,15.1106,0,0,0,1,999.274520369,61150.4524037,"Broadcast Burn",0,402.534826540272
"2020","CA","LRA","MEU","11338","Gowen Burn 2020",2020-11-11,2020-11-11,20,23.4314,0,0,0,1,1258.7229733,94823.4315073,"Broadcast Burn",0,399.911002698471
"2020","CA","USF","ENF","1440007000",NA,NA,2020-03-03,0,32.7523,0,0,0,5,3490.93815036,132543.84079,"Machine Pile Burn",0,370.64396067871
"2020","CA","CDF","MEU","11400","HREC Rx Fire",2020-12-04,2020-12-04,30,30.5175,0,0,0,1,3345.88678212,123499.774599,"Broadcast Burn",0,366.01488025541
"2020","CA","CDF","AEU","11060","2020 Fuels Reduction",2020-06-09,2020-06-09,4.1,4.14155,0,0,0,1,814.752716131,16760.2431054,"Broadcast Burn",0,320.854110095128
"2020","CA","USF","TNF","8651002000","SAGEHEN HILLS UNDERBURN",2020-05-01,NA,223,223.858,0,0,0,2,4387.85219807,905920.433228,"Fire Use",0,287.341782589734
"2020","CA","USF","PNF","1220146000",NA,NA,2020-01-09,0,19.9925,0,0,0,5,1420.53141933,80906.9613752,"Machine Pile Burn",0,285.994668112136
"2020","CA","CDF","AEU","11113","May 11, 2020 Broadcast",2020-05-11,2020-05-11,3.2,3.18077,0,0,0,1,535.134628085,12872.1361551,"Broadcast Burn",0,279.060233204981
"2020","CA","CDF","BTU","11395","Chico ECCO DEC 2020 Rx",2020-12-09,2020-12-11,68.4,68.4494,0,0,0,1,2432.60863886,277005.055042,"Broadcast Burn",0,250.081902047038
"2020","CA","USF","TNF","4002250023",NA,NA,2020-01-08,0,17.6527,0,0,0,5,1206.62267467,71438.0568148,"Machine Pile Burn",0,196.136164189124
"2020","CA","USF","LNF","T374000009","2E-BURN GRAPPLE PILES FOR SITE PREP",NA,2020-03-01,0,84.0899,0,0,0,5,16881.6609378,340299.598787,"Machine Pile Burn",0,138.733329408802
"2020","CA","USF","ENF","1440014000",NA,NA,2020-02-26,0,11.7143,0,0,0,5,1573.92965658,47406.0150028,"Machine Pile Burn",0,83.3527990721359
"2020","CA","USF","KNF","7080926000",NA,NA,2020-12-10,0,19.5177,0,0,0,5,1304.00437517,78985.2557867,"Machine Pile Burn",0,63.1403882876039
"2020","CA","USF","PNF","1220204000",NA,NA,2020-01-09,0,31.7644,0,0,0,5,2804.69579725,128545.824243,"Machine Pile Burn",0,57.0814594300407
"2020","CA","CDF","BTU","10651","BFC Rx Burn",2020-01-26,2020-02-25,12.3,12.2823,0,0,0,1,977.840171408,49704.52136,"Broadcast Burn",0,38.9757314619128
"2020","CA","USF","SQF","4010000000",NA,NA,2020-01-20,0,156.79,0,0,0,5,3775.4257268,634507.170133,"Machine Pile Burn",0,13.1564874899471
"2020","CA","USF","ENF","1440017000",NA,NA,2020-03-03,0,69.495,0,0,0,5,4218.88333609,281236.424564,"Machine Pile Burn",0,5.82357506242809
"2020","CA","USF","ENF","1440017000",NA,NA,2020-03-03,0,41.1971,0,0,0,5,3528.91015798,166718.559304,"Machine Pile Burn",0,1.87680802796876
"2020","CA","USF","ENF","1440005000",NA,NA,2020-01-07,0,27.3679,0,0,0,5,3057.49466553,110753.899938,"Machine Pile Burn",0,1.60819325099874
"2020","CA","USF","SQF","1090000000",NA,NA,2020-02-06,0,166.327,0,0,0,5,3571.25779616,673099.927351,"Machine Pile Burn",0,0.0664933487423696
"2020","CA","USF","ENF","1440009000",NA,NA,2020-02-03,0,9.60018,0,0,0,5,1080.07744235,38850.5625126,"Machine Pile Burn",0,0.0161353208541186
"2020","CA","USF","ENF","1440006000",NA,NA,2020-01-22,0,14.9097,0,0,0,5,1534.23690023,60337.3345299,"Machine Pile Burn",0,0.000998253416868267
"2020","CA","USF","ENF","1440003000",NA,NA,2020-03-02,0,12.6436,0,0,0,5,1449.33625615,51166.7914068,"Machine Pile Burn",0,0.000540599382475193
